year,sector,gross_fixed_capital_formation_million_aed
2017,Public Administration and Defence; Compulsory Social Security,32741
2017,Real Estate Activities,52312
2017,Transportation and Storage,30500
2017,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,19279
2018,Accommodation and Food Service Activities,6026
2018,Administrative and Support Service Activities,5586
2018,"Agriculture,Forestry and Fishing",1344
2018,"Arts,Recreation and Other Service Activities",3601
2018,Construction,9381
2018,Education,4523
2018,"Electricity, gas, and Water Supply; Waste Management Activities",19874
2018,Financial and insurance activities,3459
2018,Human Health and Social work Activities,3785
2018,Information and Communication,7444
2018,Manufacturing,32279
2018,Mining and Quarrying (includes crude oil and natural gas),40144
2018,Non-Financial Corporations,234993
2018,"Professional, Scientific and Technical Activities",4330
2018,Public Administration and Defence; Compulsory Social Security,30178
2018,Real Estate Activities,47478
2018,Transportation and Storage,27232
2018,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,21964
2019,Accommodation and Food Service Activities,5928
2019,Administrative and Support Service Activities,5758
2019,"Agriculture,Forestry and Fishing",1504
2019,"Arts,Recreation and Other Service Activities",3705
2019,Construction,10532
2019,Education,5047
2019,"Electricity, gas, and Water Supply; Waste Management Activities",18682
2019,Financial and insurance activities,3895
2019,Human Health and Social work Activities,3576
2019,Information and Communication,7598
2019,Manufacturing,32579
2019,Mining and Quarrying (includes crude oil and natural gas),43286
2019,Non-Financial Corporations,248412
2019,"Professional, Scientific and Technical Activities",4983
2019,Public Administration and Defence; Compulsory Social Security,29677
2019,Real Estate Activities,50238
2019,Transportation and Storage,35291
2019,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,19705
2020,Accommodation and Food Service Activities,4810
2020,Administrative and Support Service Activities,5598
2020,"Agriculture,Forestry and Fishing",1609
2020,"Arts,Recreation and Other Service Activities",3411
2020,Construction,9941
2020,Education,5096
2020,"Electricity, gas, and Water Supply; Waste Management Activities",18866
2020,Financial and insurance activities,3841
2020,Human Health and Social work Activities,3465
2020,Information and Communication,7187
2020,Manufacturing,31257
2020,Mining and Quarrying (includes crude oil and natural gas),40815
2020,Non-Financial Corporations,225476
2020,"Professional, Scientific and Technical Activities",4669
2020,Public Administration and Defence; Compulsory Social Security,30009
2020,Real Estate Activities,47151
2020,Transportation and Storage,23792
2020,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,17808
