sector
Nonfinancial corporations
"Agriculture, forestry and fishing"
Mining and quarrying
Manufacturing
"Electricity, gas and water supply; waste management activities"
Construction
Wholesale and retail trade; repair of motor vehicles and motorcycles
Transportation and storage
Accommodation and food service activities
Information and communication
Financial and insurance activities
Real estate activities
"Professional, scientific and technical activities"
Administrative and support service activities
"Public administration and defense, compulsory social security"
Education
Human health and social work activities
"Arts, recreation and other service activities"
