year,hhi_paper,classification
2010,0.2367,Moderately diversified
2011,0.2364,Moderately diversified
2012,0.2477,Moderately diversified
2013,0.2429,Moderately diversified
2014,0.2428,Moderately diversified
2015,0.2489,Moderately diversified
2016,0.2446,Moderately diversified
2017,0.2445,Moderately diversified
