factor,coverage_start_year,coverage_end_year,fbkf_avg_musd,fbkf_latest_musd,source,notes
"Agriculture, forestry & fishing",2018,2023,2547095.9691666667,2804244.9878,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
Construction,2018,2023,391628.10311666667,413944.0774,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
Manufacturing,2018,2023,2897816.3156000003,3398009.1268,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
Mining & utilities,2018,2023,2531195.81855,2337590.4357000003,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
Other activities,2018,2023,9816577.674933333,10429566.9965,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
"Trade, restaurants & hotels",2018,2023,1533716.5575166668,2122502.1017,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
Transport & communication,2018,2023,2040257.7278666666,2499636.2741,BCE FBKF 1965-2024p: https://contenido.bce.fin.ec/documentos/informacioneconomica/cuentasnacionales/anuales/fbkf_1965_2024p.xlsx,"FBKF promedio y ultimo dato 2018-2023 por rama armonizada; serie contextual, no usada en el DEA por restriccion de DMUs."
